time_s,PhaseA_V,PhaseB_V,PhaseC_V,Torque_Nm
8.775000000000010222e-03,-2.159297061993329976e+02,1.079850774334069996e+02,1.061543990246509992e+02,-3.667428800743249839e-01
8.850000000000010636e-03,-2.118527021718469996e+02,1.011389088390269961e+02,1.103641235679310029e+02,7.216763685551960128e-01
8.925000000000009315e-03,-1.959611224799010074e+02,7.407550606744510446e+01,1.165425642402310018e+02,1.784051456358850096e+00
9.000000000000009728e-03,-1.995992206709529739e+02,3.611590984918329639e+01,1.396708019727199996e+02,-1.475210230391160060e+00
9.075000000000010142e-03,-2.054680201277820117e+02,1.086785641537929870e+01,1.768043525797789925e+02,-5.919207948254080476e-01
9.150000000000010555e-03,-2.150199807621749812e+02,2.470373014072199780e+00,2.071867894582579765e+02,-1.093946160947819896e-03
9.225000000000009234e-03,-2.141712429255429981e+02,-8.651235695011919580e-01,2.161161769030589994e+02,-9.249394764327199814e-03
9.300000000000009648e-03,-1.917659428136730071e+02,-6.386885825978199982e+00,2.087400974111739913e+02,1.776981858548740023e+00
9.375000000000010061e-03,-1.523627160438290105e+02,-2.236953520327379863e+01,2.009216448202529932e+02,-8.721640936464700178e-02
9.450000000000010475e-03,-1.231608932140039911e+02,-5.743705692191179679e+01,1.944333749493979724e+02,-1.564375663882199952e+00
9.525000000000009154e-03,-1.118296001148679863e+02,-9.263418588262258879e+01,2.053866809223850112e+02,-1.556402352241039941e-02
9.600000000000009567e-03,-1.081101851573159962e+02,-1.057605516668599819e+02,2.158747121476109783e+02,-1.008068785159249997e-01
9.675000000000009981e-03,-1.023044878469719947e+02,-1.095644668899449954e+02,2.127567044035959896e+02,5.393911481730989665e-01
9.750000000000010394e-03,-7.857285998456920595e+01,-1.152499869840689968e+02,1.974308222494219933e+02,1.840687895807300078e+00
9.825000000000009073e-03,-4.017500335164640290e+01,-1.361442504810860044e+02,1.983866380349610097e+02,-1.349579416380729979e+00
9.900000000000009487e-03,-1.264687292612270042e+01,-1.710181524216239950e+02,2.035929100517290067e+02,-7.750821411138739681e-01
9.975000000000009900e-03,-3.069254426165310079e+00,-2.049941155695719885e+02,2.137686095176860022e+02,-1.849473484736950113e-01
1.004999999999999991e-02,6.827369476595609443e-01,-2.159482092981610037e+02,2.137440144115170142e+02,-1.386495675047149934e-01
1.012500000000000032e-02,5.407891546052779219e+00,-2.103995644133009648e+02,1.982207287261090016e+02,1.508849503777639933e+00
1.020000000000000073e-02,1.985520776675209831e+01,-2.014547891106849988e+02,1.565201104941330073e+02,3.047543444938309865e-01
1.027499999999999941e-02,5.295052076224720139e+01,-1.950152263102519896e+02,1.262750391292809979e+02,-1.680598699095759985e+00
1.034999999999999983e-02,8.952891815222959337e+01,-2.029249286467660056e+02,1.125451908864069992e+02,-2.931943382680299998e-02
1.042500000000000024e-02,1.049196080241519979e+02,-2.150699113059220053e+02,1.083114994986319886e+02,1.343060886011049893e-01
